iter	MultiClass
0	1.091260313
1	0.8826245092
2	0.7650288182
3	0.6826961852
4	0.6233084462
5	0.576274164
6	0.5383551738
7	0.5141833817
8	0.4928007778
9	0.4727968303
10	0.457488749
11	0.442851376
12	0.4321245255
13	0.4226460019
14	0.415201142
15	0.4047232138
16	0.3966531723
17	0.3881944583
18	0.3813767211
19	0.3762000993
20	0.3697041131
21	0.3643861548
22	0.3609169114
23	0.3554727802
24	0.3512907872
25	0.3464976577
26	0.3420054107
27	0.3373671689
28	0.3334134094
29	0.3294865389
30	0.3254164362
31	0.322276063
32	0.3175206456
33	0.3139674226
34	0.3119870053
35	0.3093928075
36	0.3065404882
37	0.3047026695
38	0.3021822932
39	0.2993381913
40	0.2972746621
41	0.2945163615
42	0.2922895784
43	0.2909900598
44	0.2887482705
45	0.2861581821
46	0.2840212632
47	0.2829010728
48	0.2812308357
49	0.2785830538
50	0.2772978901
51	0.2757299275
52	0.2735908909
53	0.271896628
54	0.2699122933
55	0.2683891349
56	0.2665150693
57	0.2654066086
58	0.2646626646
59	0.2630686232
60	0.2609215577
61	0.259484943
62	0.2583267405
63	0.2572128953
64	0.2554629918
65	0.2538299336
66	0.2514862007
67	0.2501451739
68	0.2487823854
69	0.2476823485
70	0.2467413894
71	0.2454634013
72	0.2444745098
73	0.2431377928
74	0.2418785037
75	0.2403949982
76	0.2389398948
77	0.2376943174
78	0.2368373197
79	0.2360673563
80	0.2337929604
81	0.2325399712
82	0.2310639403
83	0.2299366983
84	0.2288846062
85	0.2274205637
86	0.2264068035
87	0.2251696143
88	0.2241972297
89	0.223142666
90	0.2224289804
91	0.2208832209
92	0.2197092209
93	0.2181927416
94	0.2170278486
95	0.216248858
96	0.2153993874
97	0.2146813134
98	0.2138675124
99	0.2132249215
