iter	Passed	Remaining
0	173	17220
1	284	13951
2	390	12623
3	498	11974
4	618	11754
5	733	11488
6	856	11383
7	976	11232
8	1095	11080
9	1216	10949
10	1336	10811
11	1468	10766
12	1648	11033
13	1891	11617
14	2072	11743
15	2207	11587
16	2336	11406
17	2468	11244
18	2603	11099
19	2748	10993
20	2887	10861
21	3032	10750
22	3165	10597
23	3293	10430
24	3438	10314
25	3567	10153
26	3717	10050
27	3871	9955
28	4012	9822
29	4170	9730
30	4315	9605
31	4468	9495
32	4635	9411
33	4779	9277
34	4931	9158
35	5082	9035
36	5244	8929
37	5396	8804
38	5572	8715
39	5807	8711
40	6028	8674
41	6225	8596
42	6399	8483
43	6559	8348
44	6716	8209
45	6862	8055
46	7011	7906
47	7169	7766
48	7287	7585
49	7415	7415
50	7539	7244
51	7666	7076
52	7797	6914
53	7933	6757
54	8056	6591
55	8181	6428
56	8300	6261
57	8415	6094
58	8530	5927
59	8652	5768
60	8773	5609
61	8888	5447
62	9005	5289
63	9140	5141
64	9267	4990
65	9385	4834
66	9524	4691
67	9671	4551
68	9834	4418
69	10003	4287
70	10155	4147
71	10292	4002
72	10444	3862
73	10588	3720
74	10725	3575
75	10860	3429
76	11011	3289
77	11141	3142
78	11262	2993
79	11381	2845
80	11509	2699
81	11634	2554
82	11758	2408
83	11914	2269
84	12076	2131
85	12214	1988
86	12332	1842
87	12458	1698
88	12591	1556
89	12718	1413
90	12832	1269
91	12956	1126
92	13084	984
93	13216	843
94	13334	701
95	13458	560
96	13604	420
97	13734	280
98	13867	140
99	14011	0
