table,col_nm,domain,normal_data,err_data,datatype,rule,total_cnt,err_cnt,err_rt
NPCOOWN.CMAD01,LD_NO,번호,"['1100000000', '1111000000', '1111010100', '1111010200', '1111010300']",[],VARCHAR2(10),형식_숫자10자리(9999999999),"20,542",0,0.0
NPCOOWN.CMAD01,AD_LEV,코드,"['4', '3', '5', '2', '1']",[],VARCHAR2(1),주소_레벨,"20,542",0,0.0
NPCOOWN.CMAD01,CTY_SGG_NO,번호,"['47250', '47170', '47230', '48890', '41590']",[],VARCHAR2(10),형식_숫자5자리(99999),"20,542",0,0.0
NPCOOWN.CMAD01,CTY_NO,번호,"['47', '46', '48', '44', '41']",[],VARCHAR2(10),형식_숫자2자리(99),"20,542",0,0.0
NPCOOWN.CMAD01,SGG_NO,번호,"['150', '710', '110', '130', '770']",[],VARCHAR2(10),형식_숫자3자리(999),"20,542",0,0.0
NPCOOWN.CMAD01,EMD_NO,번호,"['250', '310', '340', '320', '330']",[],VARCHAR2(10),형식_숫자3자리(999),"20,542",0,0.0
NPCOOWN.CMAD01,DL_NO,번호,"['00', '21', '22', '23', '24']",[],VARCHAR2(10),형식_숫자2자리(99),"20,542",0,0.0
NPCOOWN.CMAD01,AD_NM1,,"['경상북도', '전라남도', '경상남도', '충청남도', '경기도']",[],VARCHAR2(100),,,,
NPCOOWN.CMAD01,AD_NM2,,"['청주시', '창원시', '중구', '상주시', '포항시']",[],VARCHAR2(100),,,,
NPCOOWN.CMAD01,AD_NM3,,"['NULL', '남면', '북구', '마산합포구', '상당구']",[],VARCHAR2(100),,,,
NPCOOWN.CMAD01,AD_NM4,,"['NULL', '용산리', '금곡리', '대곡리', '신흥리']",[],VARCHAR2(100),,,,
NPCOOWN.CMAD01,AD_NM5,,"['NULL', '덕성리', '마산리', '가좌리', '대평리']",[],VARCHAR2(100),,,,
NPCOOWN.CMAD01,USE_YN,여부,['Y'],[],VARCHAR2(1),여부Y/N,"20,542",0,0.0
NPCOOWN.CMAD01,WHL_AD,,"['강원도    ', '강원도 강릉시   ', '강원도 강릉시 강동면  ', '강원도 강릉시 강동면 모전리 ', '강원도 강릉시 강동면 산성우리 ']",[],VARCHAR2(100),,,,
NPCOOWN.CMAD01,PAR_LD_NO,번호,"['1114000000', '2617000000', '4163032000', '2632000000', '2614000000']",[],VARCHAR2(10),숫자만사용,"20,525",0,0.0
NPCOOWN.CMAD01,INP_USR_ID,번호,['MIG2019'],[],VARCHAR2(20),영문/숫자만 사용,"20,542",0,0.0
NPCOOWN.CMAD01,INP_DT,날짜,['20191210'],[],VARCHAR2(8),년월일,"20,542",0,0.0
NPCOOWN.CMAD01,INP_TM,날짜,['125408'],[],VARCHAR2(6),시분초(HH24MISS),"20,542",0,0.0
NPCOOWN.CMAD01,UPT_USR_ID,번호,['MIG2019'],[],VARCHAR2(20),영문/숫자만 사용,"20,542",0,0.0
NPCOOWN.CMAD01,UPT_DT,날짜,['20191210'],[],VARCHAR2(8),년월일,"20,542",0,0.0
NPCOOWN.CMAD01,UPT_TM,날짜,['125408'],[],VARCHAR2(6),시분초(HH24MISS),"20,542",0,0.0
NPCOOWN.CMBA01,SYS_NO,번호,"['S04', 'S07', 'S02', 'S01', 'S03']",[],VARCHAR2(3),영문/숫자만 사용,32,0,0.0
NPCOOWN.CMBA01,BBS_ID,번호,"['BBS0000001', 'BBS0000002', 'BBS0000003', 'BBS0000004', 'BBS0000005']",[],VARCHAR2(10),형식_영문숫자조합(XXX9999999),32,0,0.0
NPCOOWN.CMBA01,BBS_SE_CD,번호,"['FAQ', 'REF', 'NTC', 'QNA']",[],VARCHAR2(10),형식_영문3자리(XXX),32,0,0.0
NPCOOWN.CMBA01,BBS_NM,,"['공지사항(측정망 관리)', '공지사항(고랭지 관리)', '공지사항(생태하천 관리)', '자료실(생태하천 포털)', '자료실(신규)']",[],VARCHAR2(50),,,,
NPCOOWN.CMBA01,INP_USR_ID,번호,['ADMIN'],[],VARCHAR2(20),영문/숫자만 사용,32,0,0.0
NPCOOWN.CMBA01,INP_DT,날짜,"['20200305', '20221215', '20200521', '20200728']",[],VARCHAR2(8),년월일,32,0,0.0
NPCOOWN.CMBA01,INP_TM,날짜,"['162900', '105404', '111310', '112837']",[],VARCHAR2(6),시분초(HH24MISS),32,0,0.0
NPCOOWN.CMBA01,UPT_USR_ID,번호,['ADMIN'],[],VARCHAR2(20),영문/숫자만 사용,32,0,0.0
NPCOOWN.CMBA01,UPT_DT,날짜,"['20200305', '20221215', '20200521', '20200728']",[],VARCHAR2(8),년월일,32,0,0.0
NPCOOWN.CMBA01,UPT_TM,날짜,"['162900', '105404', '111310', '112837']",[],VARCHAR2(6),시분초(HH24MISS),32,0,0.0
NPCOOWN.CMBA11,SYS_NO,번호,"['S02', 'S04', 'S05', 'S01', 'S06']",[],VARCHAR2(3),영문/숫자만 사용,55,0,0.0
NPCOOWN.CMBA11,BBS_ID,번호,"['BBS0000028', 'BBS0000015', 'BBS0000005', 'BBS0000029', 'BBS0000014']",[],VARCHAR2(10),형식_영문숫자조합(XXX9999999),56,0,0.0
NPCOOWN.CMBA11,BBS_SN,번호,"['214', '215', '217', '226', '266']",[],NUMBER,형식_숫자3자리(999),55,0,0.0
NPCOOWN.CMBA11,WRT_USR_ID,번호,"['rladmsgud', 'hladmin', 'sgaadmin', 'kimkh19', 'hero21']",[],VARCHAR2(20),"영문,숫자,특수문자(_-)",55,0,0.0
NPCOOWN.CMBA11,STT_SE_CD,번호,"['NULL', 'D', 'W', 'Y', 'N']",[],VARCHAR2(10),형식_영문1자리(X),32,0,0.0
NPCOOWN.CMBA11,WRI_DT,날짜,"['20221220', '20220321', '20220310', '20220531', '20210810']",[],VARCHAR2(8),년월일,55,0,0.0
NPCOOWN.CMBA11,RD_CNT,수량,"['1', '0', '2', '27', '15']",[],NUMBER,수량(기본),55,0,0.0
NPCOOWN.CMBA11,LEV,번호,['0'],[],NUMBER,형식_숫자1자리(9),55,0,0.0
NPCOOWN.CMBA11,PRS_NO,번호,"['0', '266', '267', '275', '276']",[],NUMBER,숫자만사용,55,0,0.0
