col_name,yn,date_time,number,integer,bunho,email,url,part_num,part_text,part_discriminator,part_mask,part_minus,len_purity,value_nunique,value_distr,datatype,BUNHO,NALJJA,MYEONG,JUSO,YEOBU,CODE,ID,SURYANG,GEUMAEK,NAEYOUNG,YUL,ETC,domain
CODE4_1,0.079,0.0,0.21,0.21,0.429,0.0,0.0,0.21,0.219,0.0,0.0,0.0,1.0,13,3.2741698666662393,object,0,0,0,0,0,0,0,0,0,0,0,1,코드
RIVER_PLOT07,0.029,0.0,0.253,0.253,0.536,0.0,0.0,0.253,0.283,0.045,0.0,0.0,1.0,20,4.036606089520296,object,0,0,0,0,0,0,0,0,0,0,0,1,
REQU_SEQX,0.376,0.0,0.711,0.711,0.711,0.0,0.0,0.711,0.0,0.0,0.0,0.0,1.0,15,3.277929540400546,object,0,0,0,0,0,0,0,0,0,0,0,1,번호
TS_SMS_RECPTN_AGRE_YN,0.0,0.0,0.0,0.0,0.191,0.0,0.0,0.0,0.191,0.0,0.0,0.0,1.0,7,2.5569698882709524,object,0,0,0,0,1,0,0,0,0,0,0,0,여부
CPR_YN,0.0,0.0,0.0,0.0,0.321,0.0,0.0,0.0,0.321,0.0,0.0,0.0,1.0,9,2.8357072078109313,object,0,0,0,0,1,0,0,0,0,0,0,0,여부
FILE_GB,0.07,0.0,0.169,0.169,0.323,0.0,0.0,0.169,0.154,0.0,0.0,0.0,1.0,10,2.9148577418997292,object,0,0,0,0,0,0,0,0,0,0,0,1,번호
ENVCAUTH_CD,0.144,0.0,0.444,0.444,0.444,0.0,0.0,0.444,0.0,0.0,0.0,0.0,1.0,11,2.9588891971944533,object,0,0,0,0,0,1,0,0,0,0,0,0,코드
MST_IDR_HD,0.083,0.0,0.328,0.328,0.425,0.0,0.0,0.328,0.097,0.062,0.0,0.0,1.0,17,3.685213670738245,object,0,0,0,0,0,0,0,0,0,0,0,1,수량
UPT_USR_ID,0.128,0.0,0.175,0.175,0.643,0.0,0.0,0.175,0.468,0.0,0.0,0.0,1.0,20,4.093772683923587,object,0,0,0,0,0,0,1,0,0,0,0,0,번호
DSPO_PERM_MGT_NO,0.164,0.0,0.241,0.241,0.456,0.0,0.0,0.241,0.215,0.0,0.0,0.0,1.0,15,3.391703207598398,object,1,0,0,0,0,0,0,0,0,0,0,0,번호
DSPO_TRST_YN,0.0,0.0,0.0,0.0,0.308,0.0,0.0,0.0,0.308,0.0,0.0,0.0,1.0,9,2.8488253037200053,object,0,0,0,0,1,0,0,0,0,0,0,0,여부
WSTE_CODE,0.378,0.0,0.52,0.52,0.52,0.0,0.0,0.52,0.0,0.124,0.0,0.0,1.0,12,3.0731092561160134,object,0,0,0,0,0,0,0,0,0,0,0,1,코드
LOGIN_FAIL_CNT,0.091,0.0,0.195,0.195,0.195,0.0,0.0,0.195,0.0,0.0,0.0,0.0,1.0,10,2.674341613728648,object,0,0,0,0,0,0,0,1,0,0,0,0,수량
LSTK_TYPE,0.212,0.0,0.349,0.349,0.349,0.0,0.0,0.349,0.0,0.0,0.0,0.0,1.0,11,2.9232823863208943,object,0,0,0,0,0,0,0,0,0,0,0,1,코드
ELCTRN_WAYBIL_ID,0.293,0.0,0.656,0.656,0.786,0.0,0.0,0.656,0.13,0.0,0.0,0.0,1.0,21,3.876606054776738,object,0,0,0,0,0,0,1,0,0,0,0,0,번호
UPDUSR_ID,0.071,0.0,0.518,0.518,0.605,0.0,0.0,0.518,0.087,0.0,0.0,0.0,1.0,15,3.574391860864734,object,0,0,0,0,0,0,1,0,0,0,0,0,번호
