iter	MultiClass
0	1.706088782
1	1.535926776
2	1.399850075
3	1.288736778
4	1.200294388
5	1.137547577
6	1.078551062
7	1.017905639
8	0.9715540907
9	0.9315367694
10	0.8956284827
11	0.858884251
12	0.8308825879
13	0.8019905584
14	0.7772982888
15	0.75523946
16	0.7343150497
17	0.7165780808
18	0.6987510384
19	0.6810687941
20	0.6648984435
21	0.6514700358
22	0.6378214201
23	0.6254706604
24	0.6150368435
25	0.6047940276
26	0.5953763535
27	0.584930733
28	0.5770119401
29	0.5689263289
30	0.5600153585
31	0.5535424596
32	0.5465657128
33	0.5399537711
34	0.5339389708
35	0.5284647732
36	0.5239022162
37	0.517515246
38	0.5133357721
39	0.5081961074
40	0.5041235873
41	0.4998199416
42	0.4960142704
43	0.4923147908
44	0.4884687282
45	0.4859621337
46	0.483275719
47	0.480771051
48	0.4777124968
49	0.4751590883
50	0.4716961491
51	0.4681804076
52	0.4653624596
53	0.4623366628
54	0.4598772094
55	0.4576424105
56	0.4548204524
57	0.4529596127
58	0.4509315182
59	0.4491714659
60	0.4473955241
61	0.4452002982
62	0.4433325029
63	0.4408897658
64	0.4394599962
65	0.4371767198
66	0.4356835025
67	0.4339390618
68	0.4316104972
69	0.4300125993
70	0.4281375829
71	0.4269956347
72	0.4251683215
73	0.4236171346
74	0.4223368129
75	0.4206974417
76	0.4199648713
77	0.4183213889
78	0.4165634041
79	0.4153706352
80	0.4137341907
81	0.411967508
82	0.4110546454
83	0.4102563154
84	0.4089081578
85	0.4074199065
86	0.4064695729
87	0.4056366182
88	0.4049664883
89	0.4036290777
90	0.4024770688
91	0.4010228972
92	0.3999691329
93	0.3991153731
94	0.3983491583
95	0.3972299224
96	0.3967093783
97	0.3956900162
98	0.3946977267
99	0.3930061243
100	0.3921905977
101	0.3912432527
102	0.3894478864
103	0.3882401816
104	0.387089874
105	0.3865718188
106	0.3859542283
107	0.3848813304
108	0.384136228
109	0.3818418709
110	0.3802807718
111	0.3795377707
112	0.3786636224
113	0.378083622
114	0.3773049317
115	0.3768539121
116	0.3764053199
117	0.3744287592
118	0.3737642511
119	0.3728331486
120	0.3721256185
121	0.3713592834
122	0.3705611814
123	0.3694720844
124	0.3683458868
125	0.367804327
126	0.3669666817
127	0.3664592472
128	0.365633184
129	0.3647888011
130	0.3642296461
131	0.3637910924
132	0.3629325634
133	0.3620816528
134	0.3607984906
135	0.3604969116
136	0.3596637264
137	0.3592685018
138	0.3576709629
139	0.3572348206
140	0.3563750182
141	0.3559156866
142	0.3545583738
143	0.3541242576
144	0.3534527045
145	0.3522694419
146	0.351886809
147	0.3512486493
148	0.35024205
149	0.3495867711
150	0.3488068749
151	0.3482669336
152	0.3475873167
153	0.3471034629
154	0.3465973028
155	0.3459575429
156	0.3455371166
157	0.3450732707
158	0.3443131238
159	0.3438976153
160	0.3434994265
161	0.3429279703
162	0.3423940768
163	0.3419041844
164	0.3411053092
165	0.340229805
166	0.3391628533
167	0.3388353442
168	0.338447684
169	0.3374779391
170	0.3368174237
171	0.3364702917
172	0.3358288631
173	0.3357530729
174	0.3350068777
175	0.3344974416
176	0.3343126811
177	0.3332510737
178	0.3326996816
179	0.3323753403
180	0.3315541785
181	0.3307713626
182	0.3301691693
183	0.3296671155
184	0.3295657116
185	0.3291905415
186	0.3281905624
187	0.3279027151
188	0.3278316276
189	0.3273436674
190	0.3270741466
191	0.3266190356
192	0.3263965739
193	0.3260806885
194	0.3257507482
195	0.3255133415
196	0.3253072914
197	0.3247192924
198	0.3241707718
199	0.323904602
200	0.3233223567
201	0.3229393898
202	0.3223534169
203	0.3220241275
204	0.3217251793
205	0.3215075708
206	0.3211168367
207	0.3207163929
208	0.3198270634
209	0.3193640209
210	0.3190569783
211	0.3186337899
212	0.3183113622
213	0.3178976249
214	0.3173610801
215	0.3171010277
216	0.316675629
217	0.3160671095
218	0.3158847796
219	0.3155390095
220	0.3153167592
221	0.3149339304
222	0.314655663
223	0.3142989392
224	0.3141719742
225	0.3138446801
226	0.3136614256
227	0.3130420449
228	0.3127319231
229	0.3123382366
230	0.3120347041
231	0.3116172863
232	0.3112531026
233	0.3110097451
234	0.310750363
235	0.3104038041
236	0.3101559444
237	0.3099073954
238	0.3095228116
239	0.3091853942
240	0.3090727138
241	0.3087663751
242	0.3084877149
243	0.307957063
244	0.3077663198
245	0.307435831
246	0.3069987963
247	0.3068390383
248	0.3065851672
249	0.3060424935
250	0.3057097662
251	0.3053522925
252	0.3048535565
253	0.3043899162
254	0.3041929324
255	0.3038357027
256	0.3037316725
257	0.303527506
258	0.303254431
259	0.3026694336
260	0.3025139344
261	0.3021246537
262	0.3019555839
263	0.3018175398
264	0.301410681
265	0.3008361052
266	0.3000892177
267	0.2997127974
268	0.2992570657
269	0.2987766885
270	0.298539057
271	0.2983010323
272	0.2979495352
273	0.2976366875
274	0.2972989556
275	0.2972285972
276	0.2969985274
277	0.2967646312
278	0.2966044978
279	0.2964997084
280	0.2962843751
281	0.2958965786
282	0.2956513641
283	0.2951076876
