iter	Passed	Remaining
0	27	27502
1	47	23919
2	73	24480
3	93	23369
4	116	23188
5	138	22867
6	158	22439
7	179	22270
8	199	22004
9	220	21833
10	240	21666
11	259	21341
12	276	20979
13	293	20652
14	311	20422
15	328	20177
16	351	20297
17	368	20091
18	385	19913
19	404	19802
20	421	19632
21	442	19650
22	460	19542
23	483	19663
24	501	19551
25	520	19487
26	539	19451
27	557	19349
28	583	19536
29	602	19469
30	621	19422
31	639	19359
32	657	19270
33	674	19174
34	692	19089
35	710	19025
36	727	18922
37	747	18918
38	766	18887
39	785	18842
40	801	18755
41	818	18673
42	834	18571
43	850	18475
44	868	18429
45	883	18321
46	899	18238
47	917	18191
48	935	18149
49	952	18105
50	976	18169
51	992	18103
52	1006	17980
53	1021	17902
54	1038	17835
55	1058	17850
56	1077	17820
57	1092	17738
58	1107	17669
59	1121	17575
60	1136	17493
61	1152	17434
62	1168	17378
63	1184	17318
64	1200	17262
65	1217	17223
66	1232	17159
67	1248	17115
68	1269	17125
69	1284	17071
70	1299	17000
71	1314	16942
72	1329	16885
73	1347	16858
74	1364	16829
75	1380	16789
76	1395	16732
77	1411	16685
78	1431	16689
79	1449	16671
80	1478	16779
81	1498	16774
82	1523	16826
83	1540	16800
84	1563	16834
85	1586	16860
86	1604	16840
87	1623	16824
88	1638	16770
89	1652	16712
90	1666	16649
91	1687	16650
92	1701	16595
93	1722	16603
94	1742	16600
95	1761	16582
96	1787	16640
97	1809	16655
98	1830	16656
99	1851	16667
100	1875	16689
101	1895	16686
102	1922	16743
103	1945	16761
104	1974	16833
105	1997	16845
106	2020	16862
107	2039	16841
108	2061	16849
109	2084	16869
110	2108	16887
111	2132	16905
112	2153	16902
113	2173	16893
114	2194	16891
115	2217	16899
116	2240	16911
117	2269	16965
118	2292	16969
119	2316	16988
120	2336	16973
121	2356	16959
122	2376	16943
123	2398	16946
124	2422	16955
125	2440	16930
126	2464	16943
127	2485	16931
128	2504	16908
129	2524	16893
130	2552	16934
131	2573	16925
132	2593	16909
133	2613	16890
134	2633	16872
135	2651	16841
136	2669	16813
137	2686	16778
138	2706	16762
139	2726	16746
140	2745	16726
141	2767	16724
142	2787	16705
143	2805	16679
144	2825	16658
145	2844	16638
146	2861	16606
147	2880	16583
148	2900	16563
149	2932	16616
150	2967	16686
151	2995	16712
152	3027	16760
153	3064	16837
154	3094	16871
155	3119	16874
156	3150	16915
157	3177	16931
158	3205	16953
159	3233	16977
160	3278	17086
161	3308	17113
162	3334	17122
163	3360	17128
164	3386	17138
165	3414	17155
166	3447	17195
167	3485	17262
168	3513	17277
169	3552	17343
170	3579	17353
171	3612	17389
172	3644	17419
173	3654	17346
174	3684	17368
175	3710	17373
176	3752	17447
177	3799	17545
178	3826	17551
179	3858	17576
180	3881	17564
181	3913	17587
182	3954	17656
183	3986	17678
184	4010	17669
185	4045	17704
186	4081	17745
187	4107	17739
188	4125	17701
189	4156	17719
190	4180	17706
191	4225	17781
192	4251	17776
193	4276	17766
194	4310	17795
195	4340	17803
196	4371	17816
197	4413	17877
198	4449	17909
199	4487	17949
200	4521	17974
201	4558	18007
202	4593	18034
203	4620	18027
204	4646	18018
205	4669	17998
206	4701	18010
207	4732	18018
208	4754	17994
209	4785	18002
210	4806	17972
211	4835	17973
212	4865	17977
213	4900	17997
214	4937	18025
215	4969	18035
216	5002	18051
217	5037	18070
218	5066	18068
219	5097	18073
220	5131	18087
221	5159	18081
222	5181	18053
223	5204	18031
224	5229	18011
225	5250	17981
226	5270	17948
227	5294	17927
228	5316	17901
229	5337	17869
230	5361	17847
231	5381	17815
232	5410	17811
233	5435	17792
234	5462	17783
235	5482	17748
236	5501	17712
237	5524	17687
238	5545	17656
239	5565	17624
240	5594	17620
241	5614	17587
242	5635	17556
243	5655	17522
244	5676	17493
245	5697	17463
246	5723	17449
247	5744	17417
248	5765	17390
249	5791	17374
250	5814	17350
251	5838	17329
252	5859	17301
253	5883	17280
254	5917	17287
255	5953	17301
256	5976	17278
257	6009	17283
258	6033	17262
259	6058	17244
260	6081	17218
261	6105	17198
262	6127	17169
263	6149	17143
264	6170	17115
265	6193	17090
266	6223	17085
267	6244	17056
268	6265	17026
269	6286	16996
270	6317	16995
271	6340	16970
272	6368	16959
273	6424	17022
274	6464	17041
275	6496	17042
276	6538	17067
277	6563	17045
278	6589	17027
279	6612	17004
280	6639	16987
281	6661	16960
282	6685	16938
283	6708	16912
284	6732	16889
285	6753	16860
286	6775	16831
287	6796	16803
288	6818	16775
289	6845	16759
290	6864	16725
291	6888	16701
292	6932	16727
293	6978	16756
294	7006	16743
295	7064	16802
296	7089	16779
297	7117	16767
298	7151	16766
299	7176	16745
300	7201	16724
301	7234	16721
302	7263	16707
303	7300	16713
304	7327	16696
305	7352	16675
306	7385	16671
307	7416	16663
308	7439	16637
309	7464	16613
310	7495	16604
311	7529	16603
312	7564	16602
313	7600	16605
314	7631	16594
315	7658	16576
316	7688	16565
317	7715	16547
318	7739	16521
319	7762	16496
320	7794	16486
321	7825	16476
322	7851	16457
323	7877	16436
324	7900	16408
325	7934	16405
326	7959	16382
327	7984	16357
328	8035	16388
329	8092	16429
330	8122	16416
331	8149	16397
332	8179	16384
333	8212	16374
334	8248	16374
335	8280	16363
336	8317	16363
337	8348	16351
338	8383	16345
339	8420	16344
340	8452	16334
341	8476	16308
342	8515	16311
343	8560	16325
344	8582	16294
345	8605	16266
346	8638	16257
347	8668	16240
348	8695	16220
349	8733	16219
350	8762	16202
351	8793	16188
352	8822	16170
353	8857	16162
354	8887	16148
355	8927	16149
356	8962	16142
357	8987	16117
358	9022	16109
359	9051	16091
360	9083	16077
361	9125	16082
362	9152	16061
363	9178	16036
364	9200	16006
365	9234	15996
366	9255	15964
367	9286	15947
368	9318	15934
369	9372	15959
370	9399	15936
371	9427	15915
372	9467	15914
373	9503	15907
374	9535	15892
375	9575	15891
376	9618	15894
377	9652	15882
378	9676	15854
379	9699	15826
380	9733	15813
381	9765	15798
382	9786	15765
383	9806	15731
384	9827	15699
385	9849	15667
386	9881	15651
387	9903	15621
388	9930	15598
389	9951	15565
390	9977	15541
391	10007	15521
392	10027	15487
393	10049	15456
394	10083	15444
